"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Ghana,"94,699",,790 ,,"92,696",,"1,213",9,"2,988",25,"1,215,518","38,357","31,689,293 ",Africa,335,"40,113",26,,,38
Finland,"94,026",+103,964 ,,"46,000",,"47,062",9,"16,945",174,"5,257,710","947,516","5,548,943 ",Europe,59,"5,756",1,19,,"8,481"
Afghanistan,"93,765",,"3,705 ",,"61,820",,"28,240","1,124","2,358",93,"534,505","13,443","39,761,029 ",Asia,424,"10,732",74,,,710
Mongolia,"83,128","+2,395",389 ,+9,"58,649",+827,"24,090",126,"24,974",117,"3,097,091","930,468","3,328,529 ",Asia,40,"8,557",1,720,3,"7,237"
Cameroon,"80,090",,"1,310 ",,"77,305",,"1,475",152,"2,947",48,"1,718,937","63,259","27,173,011 ",Africa,339,"20,743",16,,,54
El Salvador,"76,297",,"2,310 ",+5,"70,791",,"3,196",40,"11,707",354,"1,030,223","158,072","6,517,444 ",North America,85,"2,821",6,,0.8,490
Cyprus,"73,311",,374 ,,"71,716",,"1,221",9,"60,301",308,"7,289,673","5,996,064","1,215,743 ",Asia,17,"3,251",0,,,"1,004"
Mozambique,"71,651",,842 ,,"69,937",,872,17,"2,233",26,"569,683","17,755","32,085,726 ",Africa,448,"38,107",56,,,27
Maldives,"70,897",,198 ,,"62,533",,"8,166",90,"128,997",360,"941,765","1,713,546","549,600 ",Asia,8,"2,776",1,,,"14,858"
Luxembourg,"70,466",,818 ,,"69,130",,518,2,"110,853","1,287","2,995,669","4,712,624","635,669 ",Europe,9,777,0,,,815
Namibia,"67,021",,"1,040 ",,"55,538",,"10,443",79,"25,930",402,"473,457","183,179","2,584,668 ",Africa,39,"2,485",5,,,"4,040"
Uganda,"64,521",,459 ,,"48,480",,"15,582",24,"1,370",10,"1,210,114","25,687","47,109,178 ",Africa,730,"102,634",39,,,331
Singapore,"62,339",+24,34 ,,"61,911",,394,2,"10,576",6,"12,809,152","2,173,169","5,894,228 ",Asia,95,"173,360",0,4,,67
Botswana,"61,457",,926 ,,"56,798",,"3,733",1,"25,642",386,"1,230,113","513,241","2,396,756 ",Africa,39,"2,588",2,,,"1,558"
Jamaica,"49,379",,"1,012 ",,"27,919",,"20,448",9,"16,606",340,"409,510","137,720","2,973,506 ",North America,60,"2,938",7,,,"6,877"
